('hdr', 'vfx-3', '0.000026', '0.000142', '0.000000', '0.000221', '0.000000', '0.050295', '0.050323')
('hdr', 'color', '0.000033', '0.000182', '0.000000', '0.000223', '0.000000', '0.054149', '0.054173')
('hdr', 'sound', '0.000031', '0.000175', '0.000000', '0.000219', '0.000000', '0.005617', '0.005634')
('owner', 'vfx-1', '0.000033', '0.000171', '0.000000', '0.000213', '0.000000', '0.009356', '0.009407')
('owner', 'vfx-2', '0.000029', '0.000163', '0.000000', '0.000204', '0.000000', '0.005377', '0.005396')
('owner', 'vfx-3', '0.000034', '0.000177', '0.000000', '0.000216', '0.000000', '0.005546', '0.005567')
('owner', 'color', '0.000025', '0.000134', '0.000000', '0.000174', '0.000000', '0.007025', '0.007046')
('owner', 'sound', '0.000026', '0.000142', '0.000000', '0.000200', '0.000000', '0.099844', '0.099865')
('owner', 'hdr', '0.000027', '0.000188', '0.000000', '0.000233', '0.000000', '0.051995', '0.052019')
('vfx-1', 'owner', '0.000028', '0.000144', '0.000000', '0.000186', '0.000000', '0.005849', '0.005874')
('vfx-1', 'vfx-2', '0.000027', '0.000164', '0.000000', '0.000208', '0.000000', '0.007852', '0.007915')
('vfx-1', 'vfx-3', '0.000026', '0.000139', '0.000000', '0.000179', '0.000000', '0.008669', '0.008726')
('vfx-1', 'color', '0.000027', '0.000153', '0.000000', '0.000195', '0.000000', '0.008553', '0.008574')
('vfx-1', 'sound', '0.000027', '0.000195', '0.000000', '0.000241', '0.000000', '0.050865', '0.050890')
('vfx-1', 'hdr', '0.000036', '0.000185', '0.000000', '0.000242', '0.000000', '0.050480', '0.050508')
('vfx-2', 'owner', '0.000033', '0.000186', '0.000000', '0.000232', '0.000000', '0.005823', '0.005846')
('vfx-2', 'vfx-1', '0.000026', '0.000144', '0.000000', '0.000184', '0.000000', '0.003689', '0.003711')
('vfx-2', 'vfx-3', '0.000026', '0.000159', '0.000000', '0.000202', '0.000000', '0.003723', '0.003744')
('vfx-2', 'color', '0.000029', '0.000156', '0.000000', '0.000200', '0.000000', '0.015200', '0.015265')
('vfx-2', 'sound', '0.000031', '0.000156', '0.000000', '0.000198', '0.000000', '0.052591', '0.052614')
('vfx-2', 'hdr', '0.000027', '0.000139', '0.000000', '0.000179', '0.000000', '0.054672', '0.054695')
('vfx-3', 'owner', '0.000036', '0.000591', '0.000000', '0.001222', '0.000000', '0.006116', '0.006135')
('vfx-3', 'vfx-1', '0.000035', '0.000181', '0.000000', '0.000950', '0.000000', '0.004042', '0.004064')
('vfx-3', 'vfx-2', '0.000037', '0.000187', '0.000000', '0.000233', '0.000000', '0.006803', '0.006830')
('vfx-3', 'color', '0.000026', '0.000135', '0.000000', '0.000176', '0.000000', '0.013686', '0.013709')
('vfx-3', 'sound', '0.000028', '0.000147', '0.000000', '0.000190', '0.000000', '0.052912', '0.052937')
('vfx-3', 'hdr', '0.000040', '0.000198', '0.000000', '0.000244', '0.000000', '0.098051', '0.098085')
('color', 'owner', '0.000092', '0.000886', '0.000000', '0.001024', '0.000000', '0.008152', '0.008265')
('color', 'vfx-1', '0.000046', '0.000268', '0.000000', '0.000321', '0.000000', '0.007428', '0.007479')
('color', 'vfx-2', '0.000054', '0.000229', '0.000000', '0.000279', '0.000000', '0.010289', '0.010343')
('color', 'vfx-3', '0.000054', '0.000323', '0.000000', '0.000376', '0.000000', '0.009811', '0.009899')
('color', 'sound', '0.000072', '0.000819', '0.000000', '0.000933', '0.000000', '0.052774', '0.052828')
('color', 'hdr', '0.000046', '0.000272', '0.000000', '0.000332', '0.000000', '0.057816', '0.057992')
('sound', 'owner', '0.000038', '0.000190', '0.000000', '0.000237', '0.000000', '0.056540', '0.056607')
('sound', 'vfx-1', '0.000028', '0.000146', '0.000000', '0.000186', '0.000000', '0.056839', '0.056866')
('sound', 'vfx-2', '0.000026', '0.000139', '0.000000', '0.000181', '0.000000', '0.050233', '0.050260')
('sound', 'vfx-3', '0.000029', '0.000145', '0.000000', '0.000185', '0.000000', '0.054476', '0.054503')
('sound', 'color', '0.000028', '0.000166', '0.000000', '0.000209', '0.000000', '0.058179', '0.058207')
('sound', 'hdr', '0.000046', '0.000209', '0.000000', '0.000255', '0.000000', '0.005997', '0.006018')
('hdr', 'owner', '0.000026', '0.000166', '0.000000', '0.000213', '0.000000', '0.050858', '0.050883')
('hdr', 'vfx-1', '0.000033', '0.000132', '0.000000', '0.000168', '0.000000', '0.054357', '0.054381')
('hdr', 'vfx-2', '0.000027', '0.000142', '0.000000', '0.000181', '0.000000', '0.052310', '0.052339')
('hdr', 'vfx-3', '0.000026', '0.000130', '0.000000', '0.000169', '0.000000', '0.050076', '0.050101')
('hdr', 'color', '0.000062', '0.000195', '0.000000', '0.000235', '0.000000', '0.052858', '0.052884')
('hdr', 'sound', '0.000028', '0.000166', '0.000000', '0.000207', '0.000000', '0.005226', '0.005245')
('owner', 'vfx-1', '0.000030', '0.000165', '0.000000', '0.000209', '0.000000', '0.012734', '0.012842')
('owner', 'vfx-2', '0.000058', '0.000200', '0.000000', '0.000245', '0.000000', '0.005630', '0.005651')
('owner', 'vfx-3', '0.000026', '0.000138', '0.000000', '0.000199', '0.000000', '0.005329', '0.005347')
('owner', 'color', '0.000049', '0.000174', '0.000000', '0.000214', '0.000000', '0.007677', '0.007696')
