('vfx-1', 'color', '0.000034', '0.000187', '0.000000', '0.000231', '0.000000', '0.005895', '0.005937')
('vfx-1', 'sound', '0.000026', '0.000141', '0.000000', '0.000181', '0.000000', '0.053642', '0.053707')
('vfx-1', 'hdr', '0.000027', '0.000129', '0.000000', '0.000170', '0.000000', '0.053560', '0.053649')
('vfx-2', 'owner', '0.000032', '0.000164', '0.000000', '0.000204', '0.000000', '0.005739', '0.005800')
('vfx-2', 'vfx-1', '0.000037', '0.002247', '0.000000', '0.002336', '0.000000', '0.006947', '0.007005')
('vfx-2', 'vfx-3', '0.000029', '0.000148', '0.000000', '0.000187', '0.000000', '0.004102', '0.004142')
('vfx-2', 'color', '0.000027', '0.000292', '0.000000', '0.000343', '0.000000', '0.006960', '0.007000')
('vfx-2', 'sound', '0.000026', '0.000134', '0.000000', '0.000172', '0.000000', '0.054074', '0.054134')
('vfx-2', 'hdr', '0.000025', '0.000137', '0.000000', '0.000183', '0.000000', '0.052349', '0.052428')
('vfx-3', 'owner', '0.000032', '0.000178', '0.000000', '0.000218', '0.000000', '0.005798', '0.005839')
('vfx-3', 'vfx-1', '0.000035', '0.000243', '0.000000', '0.000291', '0.000000', '0.004800', '0.004844')
('vfx-3', 'vfx-2', '0.000034', '0.000180', '0.000000', '0.000222', '0.000000', '0.004280', '0.004335')
('vfx-3', 'color', '0.000027', '0.000145', '0.000000', '0.000185', '0.000000', '0.005667', '0.005735')
('vfx-3', 'sound', '0.000026', '0.000132', '0.000000', '0.000170', '0.000000', '0.050568', '0.050633')
('vfx-3', 'hdr', '0.000027', '0.000205', '0.000000', '0.000251', '0.000000', '0.053289', '0.053358')
('color', 'owner', '0.000025', '0.000124', '0.000000', '0.000159', '0.000000', '0.005621', '0.005658')
('color', 'vfx-1', '0.000044', '0.000137', '0.000000', '0.000173', '0.000000', '0.005128', '0.005164')
('color', 'vfx-2', '0.000024', '0.000130', '0.000000', '0.000165', '0.000000', '0.005537', '0.005573')
('color', 'vfx-3', '0.000024', '0.000126', '0.000000', '0.000171', '0.000000', '0.005587', '0.005789')
('color', 'sound', '0.000028', '0.000125', '0.000000', '0.000161', '0.000000', '0.051204', '0.051248')
('color', 'hdr', '0.000023', '0.000114', '0.000000', '0.000149', '0.000000', '0.051299', '0.051343')
('sound', 'owner', '0.000027', '0.000182', '0.000000', '0.000231', '0.000000', '0.051106', '0.051179')
('sound', 'vfx-1', '0.000025', '0.000146', '0.000000', '0.000185', '0.000000', '0.051144', '0.051228')
('sound', 'vfx-2', '0.000026', '0.000127', '0.000000', '0.000166', '0.000000', '0.050831', '0.050897')
('sound', 'vfx-3', '0.000028', '0.000135', '0.000000', '0.000176', '0.000000', '0.050497', '0.050562')
('sound', 'color', '0.000027', '0.000146', '0.000000', '0.000187', '0.000000', '0.052237', '0.052304')
('sound', 'hdr', '0.000026', '0.000140', '0.000000', '0.000179', '0.000000', '0.005531', '0.005574')
('hdr', 'owner', '0.000029', '0.000152', '0.000000', '0.000195', '0.000000', '0.050195', '0.050332')
('hdr', 'vfx-1', '0.000026', '0.000142', '0.000000', '0.000182', '0.000000', '0.051683', '0.051747')
('hdr', 'vfx-2', '0.000026', '0.000146', '0.000000', '0.000186', '0.000000', '0.050501', '0.050562')
('hdr', 'vfx-3', '0.000027', '0.000162', '0.000000', '0.000202', '0.000000', '0.054300', '0.054376')
('hdr', 'color', '0.000033', '0.000506', '0.000000', '0.000586', '0.000000', '0.052785', '0.052848')
('hdr', 'sound', '0.000029', '0.000185', '0.000000', '0.000229', '0.000000', '0.005616', '0.005663')
('owner', 'vfx-1', '0.000027', '0.000154', '0.000000', '0.000199', '0.000000', '0.005537', '0.005601')
('owner', 'vfx-2', '0.000034', '0.000168', '0.000000', '0.000210', '0.000000', '0.005259', '0.005328')
('owner', 'vfx-3', '0.000036', '0.000137', '0.000000', '0.000176', '0.000000', '0.005901', '0.005946')
('owner', 'color', '0.000026', '0.000140', '0.000000', '0.000180', '0.000000', '0.006321', '0.006380')
