('hdr', 'vfx-2', '0.000026', '0.000137', '0.000000', '0.000177', '0.000000', '0.050670', '0.050696')
('hdr', 'vfx-3', '0.000029', '0.000145', '0.000000', '0.000190', '0.000000', '0.053316', '0.053339')
('hdr', 'color', '0.000027', '0.000150', '0.000000', '0.000191', '0.000000', '0.051714', '0.051736')
('hdr', 'sound', '0.000027', '0.000143', '0.000000', '0.000184', '0.000000', '0.005559', '0.005582')
('owner', 'vfx-1', '0.000034', '0.000176', '0.000000', '0.000222', '0.000000', '0.008035', '0.008098')
('owner', 'vfx-2', '0.000040', '0.000175', '0.000000', '0.000222', '0.000000', '0.005932', '0.005955')
('owner', 'vfx-3', '0.000026', '0.000115', '0.000000', '0.000154', '0.000000', '0.005215', '0.005232')
('owner', 'color', '0.000033', '0.000154', '0.000000', '0.000210', '0.000000', '0.005366', '0.005385')
('owner', 'sound', '0.000024', '0.000134', '0.000000', '0.000330', '0.000000', '0.052817', '0.052841')
('owner', 'hdr', '0.000044', '0.000163', '0.000000', '0.000216', '0.000000', '0.052277', '0.052299')
('vfx-1', 'owner', '0.000034', '0.000151', '0.000000', '0.000191', '0.000000', '0.005110', '0.005128')
('vfx-1', 'vfx-2', '0.000025', '0.000140', '0.000000', '0.000185', '0.000000', '0.007222', '0.007301')
('vfx-1', 'vfx-3', '0.000025', '0.000145', '0.000000', '0.000204', '0.000000', '0.006717', '0.006772')
('vfx-1', 'color', '0.000025', '0.000124', '0.000000', '0.000165', '0.000000', '0.004737', '0.004755')
('vfx-1', 'sound', '0.000034', '0.000174', '0.000000', '0.000220', '0.000000', '0.050501', '0.050520')
('vfx-1', 'hdr', '0.000041', '0.000167', '0.000000', '0.000209', '0.000000', '0.049804', '0.049824')
('vfx-2', 'owner', '0.000026', '0.000140', '0.000000', '0.000182', '0.000000', '0.004885', '0.004903')
('vfx-2', 'vfx-1', '0.000028', '0.000156', '0.000000', '0.000201', '0.000000', '0.003948', '0.003971')
('vfx-2', 'vfx-3', '0.000034', '0.000166', '0.000000', '0.000209', '0.000000', '0.004069', '0.004100')
('vfx-2', 'color', '0.000027', '0.000132', '0.000000', '0.000171', '0.000000', '0.008764', '0.008808')
('vfx-2', 'sound', '0.000025', '0.000134', '0.000000', '0.000173', '0.000000', '0.052072', '0.052089')
('vfx-2', 'hdr', '0.000035', '0.000175', '0.000000', '0.000244', '0.000000', '0.050056', '0.050075')
('vfx-3', 'owner', '0.000026', '0.000130', '0.000000', '0.000171', '0.000000', '0.005755', '0.005773')
('vfx-3', 'vfx-1', '0.000026', '0.000128', '0.000000', '0.000167', '0.000000', '0.004596', '0.004627')
('vfx-3', 'vfx-2', '0.000026', '0.000146', '0.000000', '0.000189', '0.000000', '0.003982', '0.004002')
('vfx-3', 'color', '0.000031', '0.000146', '0.000000', '0.000188', '0.000000', '0.004843', '0.004860')
('vfx-3', 'sound', '0.000024', '0.000132', '0.000000', '0.000175', '0.000000', '0.054004', '0.054049')
('vfx-3', 'hdr', '0.000037', '0.000153', '0.000000', '0.000193', '0.000000', '0.050385', '0.050404')
('color', 'owner', '0.000067', '0.000271', '0.000000', '0.000386', '0.000000', '0.005100', '0.005123')
('color', 'vfx-1', '0.000039', '0.000203', '0.000000', '0.000245', '0.000000', '0.005615', '0.005641')
('color', 'vfx-2', '0.000035', '0.000152', '0.000000', '0.000194', '0.000000', '0.005014', '0.005040')
('color', 'vfx-3', '0.000029', '0.000155', '0.000000', '0.000198', '0.000000', '0.005001', '0.005023')
('color', 'sound', '0.000027', '0.000148', '0.000000', '0.000191', '0.000000', '0.053801', '0.053827')
('color', 'hdr', '0.000036', '0.000175', '0.000000', '0.000220', '0.000000', '0.051951', '0.051975')
('sound', 'owner', '0.000034', '0.000167', '0.000000', '0.000211', '0.000000', '0.052644', '0.052671')
('sound', 'vfx-1', '0.000029', '0.000158', '0.000000', '0.000200', '0.000000', '0.050918', '0.050946')
('sound', 'vfx-2', '0.000029', '0.000143', '0.000000', '0.000182', '0.000000', '0.057671', '0.057720')
('sound', 'vfx-3', '0.000032', '0.000194', '0.000000', '0.000233', '0.000000', '0.050299', '0.050323')
('sound', 'color', '0.000030', '0.000161', '0.000000', '0.000205', '0.000000', '0.051182', '0.051209')
('sound', 'hdr', '0.000028', '0.000141', '0.000000', '0.000179', '0.000000', '0.008231', '0.008255')
('hdr', 'owner', '0.000029', '0.000136', '0.000000', '0.000175', '0.000000', '0.054001', '0.054072')
('hdr', 'vfx-1', '0.000025', '0.000132', '0.000000', '0.000171', '0.000000', '0.054104', '0.054136')
('hdr', 'vfx-2', '0.000026', '0.000176', '0.000000', '0.000218', '0.000000', '0.050552', '0.050577')
('hdr', 'vfx-3', '0.000027', '0.000145', '0.000000', '0.000184', '0.000000', '0.051463', '0.051487')
('hdr', 'color', '0.000027', '0.000137', '0.000000', '0.000178', '0.000000', '0.051891', '0.051912')
('hdr', 'sound', '0.000025', '0.000141', '0.000000', '0.000180', '0.000000', '0.006651', '0.006708')
('owner', 'vfx-1', '0.000055', '0.000162', '0.000000', '0.000211', '0.000000', '0.007604', '0.007661')
('owner', 'vfx-2', '0.000031', '0.000152', '0.000000', '0.000194', '0.000000', '0.005756', '0.005777')
('owner', 'vfx-3', '0.000036', '0.000198', '0.000000', '0.000245', '0.000000', '0.005573', '0.005593')
('owner', 'color', '0.000026', '0.000152', '0.000000', '0.000192', '0.000000', '0.005837', '0.005854')
