('color', 'vfx-1', '0.000053', '0.000239', '0.000000', '0.000290', '0.000000', '0.008554', '0.008661')
('color', 'vfx-2', '0.000045', '0.000265', '0.000000', '0.000347', '0.000000', '0.009266', '0.009428')
('color', 'vfx-3', '0.000054', '0.000301', '0.000000', '0.000357', '0.000000', '0.013831', '0.013956')
('color', 'sound', '0.000049', '0.000273', '0.000000', '0.000328', '0.000000', '0.099749', '0.099855')
('color', 'hdr', '0.000049', '0.000271', '0.000000', '0.000333', '0.000000', '0.054132', '0.054236')
('sound', 'owner', '0.000034', '0.000183', '0.000000', '0.000226', '0.000000', '0.053139', '0.053203')
('sound', 'vfx-1', '0.000025', '0.000140', '0.000000', '0.000182', '0.000000', '0.054839', '0.054925')
('sound', 'vfx-2', '0.000027', '0.000144', '0.000000', '0.000183', '0.000000', '0.055396', '0.055465')
('sound', 'vfx-3', '0.000033', '0.000156', '0.000000', '0.000199', '0.000000', '0.052923', '0.052986')
('sound', 'color', '0.000029', '0.000147', '0.000000', '0.000187', '0.000000', '0.056495', '0.056566')
('sound', 'hdr', '0.000061', '0.000185', '0.000000', '0.000228', '0.000000', '0.008844', '0.008895')
('hdr', 'owner', '0.000044', '0.000201', '0.000000', '0.000245', '0.000000', '0.054929', '0.054996')
('hdr', 'vfx-1', '0.000028', '0.000151', '0.000000', '0.000196', '0.000000', '0.053082', '0.053137')
('hdr', 'vfx-2', '0.000027', '0.000165', '0.000000', '0.000205', '0.000000', '0.056381', '0.056452')
('hdr', 'vfx-3', '0.000053', '0.000264', '0.000000', '0.000333', '0.000000', '0.053255', '0.053321')
('hdr', 'color', '0.000027', '0.000165', '0.000000', '0.000207', '0.000000', '0.056383', '0.056453')
('hdr', 'sound', '0.000055', '0.000204', '0.000000', '0.000251', '0.000000', '0.008469', '0.008527')
('owner', 'vfx-1', '0.000028', '0.000138', '0.000000', '0.000178', '0.000000', '0.008175', '0.008224')
('owner', 'vfx-2', '0.000035', '0.000200', '0.000000', '0.000242', '0.000000', '0.008419', '0.008472')
('owner', 'vfx-3', '0.000026', '0.000142', '0.000000', '0.000181', '0.000000', '0.008375', '0.008420')
('owner', 'color', '0.000064', '0.000202', '0.000000', '0.000245', '0.000000', '0.014395', '0.014454')
('owner', 'sound', '0.000026', '0.000140', '0.000000', '0.000179', '0.000000', '0.053464', '0.053532')
('owner', 'hdr', '0.000028', '0.000172', '0.000000', '0.000214', '0.000000', '0.056194', '0.056255')
('vfx-1', 'owner', '0.000032', '0.000144', '0.000000', '0.000177', '0.000000', '0.008264', '0.008490')
('vfx-1', 'vfx-2', '0.000035', '0.000160', '0.000000', '0.000199', '0.000000', '0.009011', '0.009072')
('vfx-1', 'vfx-3', '0.000026', '0.000172', '0.000000', '0.000215', '0.000000', '0.006749', '0.006802')
('vfx-1', 'color', '0.000028', '0.000150', '0.000000', '0.000196', '0.000000', '0.014853', '0.014916')
('vfx-1', 'sound', '0.000029', '0.000157', '0.000000', '0.000202', '0.000000', '0.054834', '0.054893')
('vfx-1', 'hdr', '0.000025', '0.000133', '0.000000', '0.000172', '0.000000', '0.057213', '0.057278')
('vfx-2', 'owner', '0.000024', '0.000143', '0.000000', '0.000187', '0.000000', '0.008624', '0.008676')
('vfx-2', 'vfx-1', '0.000032', '0.000170', '0.000000', '0.000212', '0.000000', '0.007610', '0.007665')
('vfx-2', 'vfx-3', '0.000029', '0.000182', '0.000000', '0.000223', '0.000000', '0.006301', '0.006353')
('vfx-2', 'color', '0.000031', '0.000154', '0.000000', '0.000197', '0.000000', '0.012151', '0.012202')
('vfx-2', 'sound', '0.000030', '0.000146', '0.000000', '0.000186', '0.000000', '0.053763', '0.053825')
