('vfx-2', 'vfx-3', '0.000026', '0.000130', '0.000000', '0.000168', '0.000000', '0.009508', '0.009531')
('vfx-2', 'color', '0.000026', '0.000147', '0.000000', '0.000189', '0.000000', '0.014843', '0.014890')
('vfx-2', 'sound', '0.000027', '0.000142', '0.000000', '0.000206', '0.000000', '0.058960', '0.058984')
('vfx-2', 'hdr', '0.000036', '0.000182', '0.000000', '0.000226', '0.000000', '0.060603', '0.060624')
('vfx-3', 'owner', '0.000029', '0.000149', '0.000000', '0.000187', '0.000000', '0.009731', '0.009747')
('vfx-3', 'vfx-1', '0.000026', '0.000146', '0.000000', '0.000188', '0.000000', '0.008066', '0.008087')
('vfx-3', 'vfx-2', '0.000033', '0.000162', '0.000000', '0.000212', '0.000000', '0.010309', '0.010331')
('vfx-3', 'color', '0.000026', '0.000135', '0.000000', '0.000173', '0.000000', '0.012432', '0.012448')
('vfx-3', 'sound', '0.000027', '0.000145', '0.000000', '0.000185', '0.000000', '0.060073', '0.060133')
('vfx-3', 'hdr', '0.000034', '0.000163', '0.000000', '0.000203', '0.000000', '0.055511', '0.055537')
('color', 'owner', '0.000043', '0.000228', '0.000000', '0.000278', '0.000000', '0.010987', '0.011015')
('color', 'vfx-1', '0.000030', '0.000159', '0.000000', '0.000203', '0.000000', '0.014172', '0.014201')
('color', 'vfx-2', '0.000037', '0.000196', '0.000000', '0.000239', '0.000000', '0.010618', '0.010644')
('color', 'vfx-3', '0.000043', '0.000181', '0.000000', '0.000224', '0.000000', '0.016667', '0.016697')
('color', 'sound', '0.000035', '0.000173', '0.000000', '0.000221', '0.000000', '0.062038', '0.062062')
('color', 'hdr', '0.000032', '0.000150', '0.000000', '0.000193', '0.000000', '0.106091', '0.106117')
('sound', 'owner', '0.000030', '0.000140', '0.000000', '0.000182', '0.000000', '0.108938', '0.108964')
('sound', 'vfx-1', '0.000029', '0.000155', '0.000000', '0.000195', '0.000000', '0.059837', '0.059861')
('sound', 'vfx-2', '0.000026', '0.000134', '0.000000', '0.000173', '0.000000', '0.054695', '0.054718')
('sound', 'vfx-3', '0.000025', '0.000135', '0.000000', '0.000175', '0.000000', '0.058385', '0.058416')
('sound', 'color', '0.000026', '0.000137', '0.000000', '0.000177', '0.000000', '0.057760', '0.057782')
('sound', 'hdr', '0.000026', '0.000139', '0.000000', '0.000178', '0.000000', '0.011513', '0.011541')
('hdr', 'owner', '0.000028', '0.000145', '0.000000', '0.000184', '0.000000', '0.061190', '0.061268')
('hdr', 'vfx-1', '0.000026', '0.000149', '0.000000', '0.000188', '0.000000', '0.054613', '0.054641')
('hdr', 'vfx-2', '0.000025', '0.000145', '0.000000', '0.000185', '0.000000', '0.059164', '0.059194')
('hdr', 'vfx-3', '0.000026', '0.000145', '0.000000', '0.000193', '0.000000', '0.056520', '0.056553')
('hdr', 'color', '0.000025', '0.000147', '0.000000', '0.000186', '0.000000', '0.058338', '0.058402')
('hdr', 'sound', '0.000033', '0.000178', '0.000000', '0.000219', '0.000000', '0.010621', '0.010641')
('owner', 'vfx-1', '0.000027', '0.000141', '0.000000', '0.000183', '0.000000', '0.013565', '0.013634')
('owner', 'vfx-2', '0.000037', '0.000173', '0.000000', '0.000214', '0.000000', '0.009417', '0.009440')
('owner', 'vfx-3', '0.000033', '0.000157', '0.000000', '0.000197', '0.000000', '0.009647', '0.009670')
('owner', 'color', '0.000033', '0.000167', '0.000000', '0.000211', '0.000000', '0.011620', '0.011641')
